City,Restaurant,Price,Avg ratings,Total ratings,Delivery time,Chinese,North Indian,Indian,Fast Food,Beverages,Desserts,Biryani,Snacks,South Indian,Continental
5,Pooran'S Ambala Wale,250.0,4.0,100,48,1,1,1,0,0,0,0,0,0,0
5,Chit Chat,300.0,4.3,20,50,1,1,1,0,0,0,0,0,0,0
4,Aminia- Hatibagan,500.0,4.3,1000,50,0,1,1,0,0,0,1,0,0,0
4,Pizza Hut,350.0,4.1,1000,49,0,0,0,1,0,0,0,0,0,0
4,Hanglaatherium,350.0,4.3,500,84,0,0,1,0,0,0,1,0,0,0
5,Bombay Bar-Be-Que,400.0,4.2,100,57,0,0,1,0,0,0,0,0,0,0
1,Urban Munchies,150.0,2.9,80,42,0,0,0,0,0,1,0,0,0,0
3,Rk Pure Veg,300.0,3.8,500,62,1,1,1,0,0,0,0,0,0,0
3,Afc American Fried Chicken,300.0,4.0,100,65,0,0,0,1,0,0,0,0,0,0
4,Flurys Park Street,1000.0,4.5,100,45,0,0,0,0,0,0,0,0,0,1
4,The Wall,1300.0,4.1,100,75,1,0,0,0,0,0,0,0,0,0
6,Grill Box,600.0,4.3,100,58,1,1,1,0,0,0,0,0,1,0
2,Brijwasi Sweets Original Since 1946,150.0,4.2,100,43,0,0,0,0,0,1,0,0,0,0
0,Pizza Hut,600.0,3.8,100,36,0,0,0,1,0,0,0,0,0,0
1,Radisson Blu Plaza Delivery,1200.0,3.7,20,82,1,1,1,0,0,0,1,0,0,0
4,Arsalan Park Circus,700.0,4.3,1000,51,0,1,1,0,0,0,1,0,0,0
1,Shahji Ka Dhaba,400.0,4.3,100,44,1,1,1,0,0,0,0,0,0,0
2,Gurukripa,500.0,4.3,100,50,1,1,1,0,0,0,0,0,0,0
6,Basil With A Twist,1500.0,4.1,50,63,0,0,0,0,0,0,0,0,0,1
3,Indian Tadka - Taste Punjab Da,300.0,3.9,500,76,1,1,1,0,0,0,1,0,0,0
4,Wise Owl Steak House,1000.0,4.0,50,75,0,0,0,0,0,0,0,0,0,1
2,Hanuman Restaurant,700.0,4.5,100,45,1,1,1,1,0,0,0,0,1,0
2,Cocoon - Dragonfly Hotel,400.0,4.4,20,59,1,1,1,0,0,0,0,0,0,0
6,Truly Scrumptious,350.0,4.5,50,69,0,0,0,0,0,1,0,0,0,0
6,Midnight Masala,300.0,3.8,50,73,1,1,1,0,0,0,1,0,0,0
1,Karachi Bakery Banjara,200.0,4.1,1000,56,1,0,0,0,1,1,0,1,0,0
3,Khushboo,500.0,4.3,50,56,1,1,1,1,0,0,0,0,0,0
6,Mainland China,850.0,4.3,500,72,1,0,0,0,0,1,0,0,0,0
1,Suruchi - The Family Restaurant,500.0,4.2,500,58,1,1,1,0,0,0,1,0,0,0
4,The 6 Russell Street,300.0,3.8,500,54,1,0,0,0,0,0,0,0,0,0
